,date,financialReturnsScore,growthScore,gsid,integratedScore,multipleScore,updateTime
0,2017-01-16,0.456,0.362,75154,0.508,0.294,2017-05-11T19:47:36Z
1,2017-01-17,0.456,0.362,75154,0.508,0.296,2017-05-11T19:47:36Z
2,2017-01-18,0.454,0.362,75154,0.508,0.29,2017-05-11T19:47:36Z
3,2017-01-19,0.458,0.364,75154,0.508,0.3,2017-05-11T19:47:36Z
4,2017-01-20,0.452,0.37,75154,0.506,0.306,2017-05-11T19:47:36Z
5,2017-01-23,0.452,0.372,75154,0.506,0.302,2017-05-11T19:47:36Z
6,2017-01-24,0.45,0.368,75154,0.504,0.306,2017-05-11T19:47:36Z
7,2017-01-25,0.454,0.36,75154,0.5,0.312,2017-05-11T19:47:36Z
8,2017-01-26,0.454,0.356,75154,0.496,0.322,2017-05-11T19:47:36Z
9,2017-01-27,0.452,0.356,75154,0.484,0.354,2017-05-11T19:47:36Z
10,2017-01-30,0.454,0.356,75154,0.49,0.338,2017-05-11T19:47:36Z
11,2017-01-31,0.456,0.354,75154,0.49,0.338,2017-05-11T19:47:36Z
12,2017-02-01,0.456,0.358,75154,0.496,0.326,2017-05-11T19:47:36Z
13,2017-02-02,0.452,0.352,75154,0.492,0.326,2017-05-11T19:47:36Z
14,2017-02-03,0.45,0.352,75154,0.492,0.328,2017-05-11T19:47:36Z
15,2017-02-06,0.454,0.352,75154,0.496,0.322,2017-05-11T19:47:36Z
16,2017-02-07,0.448,0.35,75154,0.488,0.338,2017-05-11T19:47:36Z
17,2017-02-08,0.448,0.35,75154,0.49,0.33,2017-05-11T19:47:36Z
18,2017-02-09,0.448,0.348,75154,0.488,0.332,2017-05-11T19:47:36Z
19,2017-02-10,0.446,0.344,75154,0.486,0.33,2017-05-11T19:47:36Z
20,2017-02-13,0.452,0.348,75154,0.496,0.312,2017-05-11T19:47:36Z
21,2017-02-14,0.452,0.346,75154,0.498,0.306,2017-05-11T19:47:36Z
22,2017-02-15,0.452,0.346,75154,0.498,0.304,2017-05-11T19:47:36Z
23,2017-02-16,0.454,0.348,75154,0.5,0.302,2017-05-11T19:47:36Z
24,2017-02-17,0.456,0.346,75154,0.502,0.298,2017-05-11T19:47:36Z
25,2017-02-20,0.456,0.35,75154,0.506,0.286,2017-05-11T19:47:36Z
26,2017-02-21,0.458,0.348,75154,0.506,0.286,2017-05-11T19:47:36Z
27,2017-02-22,0.458,0.348,75154,0.506,0.288,2017-05-11T19:47:36Z
28,2017-02-23,0.458,0.344,75154,0.506,0.288,2017-05-11T19:47:36Z
29,2017-02-24,0.458,0.342,75154,0.502,0.292,2017-05-11T19:47:36Z
30,2017-02-27,0.462,0.34,75154,0.502,0.294,2017-05-11T19:47:36Z
31,2017-02-28,0.462,0.338,75154,0.502,0.292,2017-05-11T19:47:36Z
32,2017-03-01,0.464,0.338,75154,0.502,0.296,2017-05-11T19:47:36Z
33,2017-03-02,0.462,0.336,75154,0.5,0.298,2017-05-11T19:47:36Z
34,2017-03-03,0.466,0.33,75154,0.5,0.298,2017-05-11T19:47:36Z
35,2017-03-06,0.472,0.508,75154,0.588,0.216,2017-05-11T19:47:36Z
36,2017-03-07,0.474,0.51,75154,0.588,0.218,2017-05-11T19:47:36Z
37,2017-03-08,0.472,0.51,75154,0.588,0.216,2017-05-11T19:47:36Z
38,2017-03-09,0.472,0.51,75154,0.586,0.226,2017-05-11T19:47:36Z
39,2017-03-10,0.472,0.512,75154,0.582,0.236,2017-05-11T19:47:36Z
40,2017-03-13,0.472,0.514,75154,0.578,0.252,2017-05-11T19:47:36Z
41,2017-03-14,0.472,0.51,75154,0.578,0.248,2017-05-11T19:47:36Z
42,2017-03-15,0.472,0.51,75154,0.578,0.246,2017-05-11T19:47:36Z
43,2017-03-16,0.47,0.506,75154,0.578,0.242,2017-05-11T19:47:36Z
44,2017-03-17,0.47,0.506,75154,0.576,0.248,2017-05-11T19:47:36Z
45,2017-03-20,0.47,0.506,75154,0.574,0.252,2017-05-11T19:47:36Z
46,2017-03-21,0.47,0.504,75154,0.572,0.258,2017-05-11T19:47:36Z
47,2017-03-22,0.47,0.504,75154,0.57,0.262,2017-05-11T19:47:36Z
48,2017-03-23,0.47,0.504,75154,0.568,0.272,2017-05-11T19:47:36Z
49,2017-03-24,0.47,0.502,75154,0.566,0.272,2017-05-11T19:47:36Z
50,2017-03-27,0.472,0.5,75154,0.566,0.272,2017-05-11T19:47:36Z
51,2017-03-28,0.492,0.546,75154,0.596,0.248,2017-05-11T19:47:36Z
52,2017-03-29,0.5,0.508,75154,0.586,0.254,2017-05-11T19:47:36Z
53,2017-03-30,0.502,0.51,75154,0.588,0.248,2017-05-11T19:47:36Z
54,2017-03-31,0.502,0.512,75154,0.586,0.254,2017-05-11T19:47:36Z
55,2017-04-03,0.502,0.512,75154,0.588,0.25,2017-05-11T19:47:36Z
56,2017-04-04,0.502,0.508,75154,0.588,0.246,2017-05-11T19:47:36Z
57,2017-04-05,0.5,0.51,75154,0.588,0.244,2017-05-11T19:47:36Z
58,2017-04-06,0.462,0.562,75154,0.564,0.332,2017-05-11T19:47:36Z
59,2017-04-07,0.46,0.564,75154,0.566,0.328,2017-05-11T19:47:36Z
60,2017-04-10,0.454,0.566,75154,0.564,0.328,2017-05-11T19:47:36Z
61,2017-04-11,0.452,0.566,75154,0.566,0.322,2017-05-11T19:47:36Z
62,2017-04-12,0.452,0.566,75154,0.568,0.31,2017-05-11T19:47:36Z
63,2017-04-13,0.452,0.568,75154,0.568,0.316,2017-05-11T19:47:36Z
64,2017-04-14,0.454,0.566,75154,0.566,0.322,2017-05-11T19:47:36Z
65,2017-04-17,0.454,0.572,75154,0.568,0.322,2017-05-11T19:47:36Z
66,2017-04-18,0.456,0.57,75154,0.566,0.328,2017-05-11T19:47:36Z
67,2017-04-19,0.45,0.57,75154,0.564,0.328,2017-05-11T19:47:36Z
68,2017-04-20,0.448,0.568,75154,0.56,0.336,2017-05-11T19:47:36Z
69,2017-04-21,0.45,0.566,75154,0.56,0.334,2017-05-11T19:47:36Z
70,2017-04-24,0.452,0.566,75154,0.562,0.332,2017-05-11T19:47:36Z
71,2017-04-25,0.452,0.568,75154,0.562,0.332,2017-05-11T19:47:36Z
72,2017-04-26,0.452,0.566,75154,0.56,0.338,2017-05-11T19:47:36Z
73,2017-04-27,0.452,0.568,75154,0.556,0.35,2017-05-11T19:47:36Z
74,2017-04-28,0.452,0.57,75154,0.556,0.352,2017-05-11T19:47:36Z
75,2017-05-01,0.454,0.566,75154,0.548,0.378,2017-05-11T19:47:36Z
76,2017-05-02,0.452,0.562,75154,0.544,0.384,2017-05-11T19:47:36Z
77,2017-05-03,0.45,0.566,75154,0.544,0.384,2017-05-11T19:47:36Z
78,2017-05-04,0.45,0.558,75154,0.54,0.388,2017-05-11T19:47:36Z
79,2017-05-05,0.45,0.558,75154,0.534,0.408,2017-05-11T19:47:36Z
80,2017-05-08,0.45,0.558,75154,0.534,0.406,2017-05-11T19:47:36Z
81,2017-05-09,0.454,0.558,75154,0.54,0.394,2017-05-11T19:47:36Z
82,2017-05-10,0.454,0.558,75154,0.538,0.4,2017-05-11T19:47:36Z
83,2017-05-11,0.458,0.558,75154,0.548,0.376,2017-05-11T19:47:36Z
84,2017-05-12,0.46,0.558,75154,0.546,0.378,2017-05-12T10:47:27Z
85,2017-05-15,0.458,0.558,75154,0.55,0.366,2017-05-15T08:06:02Z
86,2017-05-16,0.46,0.558,75154,0.552,0.362,2017-05-16T08:05:09Z
87,2017-05-17,0.458,0.556,75154,0.55,0.364,2017-05-17T08:16:33Z
88,2017-05-18,0.456,0.556,75154,0.55,0.36,2017-05-18T08:08:25Z
89,2017-05-19,0.46,0.56,75154,0.546,0.382,2017-05-19T08:04:44Z
90,2017-05-22,0.46,0.56,75154,0.546,0.38,2017-05-22T08:05:30Z
91,2017-05-23,0.46,0.56,75154,0.544,0.384,2017-05-23T08:11:52Z
92,2017-05-24,0.444,0.556,75154,0.54,0.382,2017-05-24T08:05:16Z
93,2017-05-25,0.44,0.556,75154,0.54,0.378,2017-05-25T08:12:41Z
94,2017-05-26,0.438,0.558,75154,0.538,0.384,2017-05-26T08:06:48Z
95,2017-05-29,0.438,0.558,75154,0.536,0.39,2017-05-29T08:05:08Z
96,2017-05-30,0.438,0.558,75154,0.536,0.39,2017-05-30T08:05:54Z
97,2017-05-31,0.44,0.562,75154,0.532,0.404,2017-06-05T09:38:43Z
98,2017-06-01,0.442,0.56,75154,0.53,0.412,2017-06-01T08:05:25Z
99,2017-06-02,0.434,0.568,75154,0.526,0.424,2017-06-02T08:04:43Z
100,2017-06-05,0.436,0.568,75154,0.526,0.428,2017-06-05T08:04:58Z
101,2017-06-06,0.436,0.566,75154,0.526,0.426,2017-06-06T08:05:52Z
102,2017-06-07,0.434,0.566,75154,0.528,0.416,2017-06-07T08:05:46Z
103,2017-06-08,0.434,0.562,75154,0.526,0.418,2017-06-08T08:33:37Z
104,2017-06-09,0.436,0.562,75154,0.526,0.418,2017-06-09T08:05:43Z
105,2017-06-12,0.438,0.56,75154,0.532,0.406,2017-06-12T08:05:22Z
106,2017-06-13,0.436,0.558,75154,0.528,0.408,2017-06-13T08:05:29Z
107,2017-06-14,0.434,0.558,75154,0.528,0.408,2017-06-14T08:04:49Z
108,2017-06-15,0.434,0.558,75154,0.524,0.42,2017-06-15T08:04:51Z
109,2017-06-16,0.434,0.558,75154,0.52,0.434,2017-06-16T08:05:50Z
110,2017-06-19,0.434,0.558,75154,0.52,0.434,2017-06-19T08:04:45Z
111,2017-06-20,0.44,0.572,75154,0.528,0.428,2017-06-20T08:08:35Z
112,2017-06-21,0.44,0.574,75154,0.526,0.434,2017-06-21T08:07:14Z
113,2017-06-22,0.442,0.572,75154,0.52,0.454,2017-06-22T08:05:56Z
114,2017-06-23,0.446,0.574,75154,0.528,0.434,2017-06-23T08:25:02Z
115,2017-06-26,0.452,0.572,75154,0.534,0.422,2017-06-26T08:05:04Z
116,2017-06-27,0.454,0.57,75154,0.538,0.414,2017-06-27T08:06:17Z
117,2017-06-28,0.454,0.57,75154,0.542,0.4,2017-06-28T08:04:52Z
118,2017-06-29,0.454,0.574,75154,0.54,0.408,2017-06-29T08:05:26Z
119,2017-06-30,0.454,0.574,75154,0.544,0.396,2017-06-30T08:05:02Z
120,2017-01-16,0.066,0.752,193067,0.3,0.92,2017-05-11T19:47:36Z
121,2017-01-17,0.066,0.75,193067,0.298,0.92,2017-05-11T19:47:36Z
122,2017-01-18,0.066,0.746,193067,0.298,0.918,2017-05-11T19:47:36Z
123,2017-01-19,0.066,0.748,193067,0.298,0.918,2017-05-11T19:47:36Z
124,2017-01-20,0.066,0.746,193067,0.298,0.918,2017-05-11T19:47:36Z
125,2017-01-23,0.066,0.742,193067,0.296,0.918,2017-05-11T19:47:36Z
126,2017-01-24,0.066,0.742,193067,0.296,0.918,2017-05-11T19:47:36Z
127,2017-01-25,0.066,0.744,193067,0.296,0.92,2017-05-11T19:47:36Z
128,2017-01-26,0.068,0.744,193067,0.298,0.92,2017-05-11T19:47:36Z
129,2017-01-27,0.066,0.746,193067,0.298,0.92,2017-05-11T19:47:36Z
130,2017-01-30,0.068,0.75,193067,0.3,0.92,2017-05-11T19:47:36Z
131,2017-01-31,0.068,0.748,193067,0.298,0.92,2017-05-11T19:47:36Z
132,2017-02-01,0.07,0.748,193067,0.3,0.92,2017-05-11T19:47:36Z
133,2017-02-02,0.07,0.748,193067,0.3,0.918,2017-05-11T19:47:36Z
134,2017-02-03,0.07,0.75,193067,0.3,0.918,2017-05-11T19:47:36Z
135,2017-02-06,0.068,0.756,193067,0.302,0.918,2017-05-11T19:47:36Z
136,2017-02-07,0.068,0.75,193067,0.3,0.92,2017-05-11T19:47:36Z
137,2017-02-08,0.068,0.752,193067,0.3,0.918,2017-05-11T19:47:36Z
138,2017-02-09,0.068,0.752,193067,0.3,0.918,2017-05-11T19:47:36Z
139,2017-02-10,0.07,0.75,193067,0.302,0.916,2017-05-11T19:47:36Z
140,2017-02-13,0.07,0.748,193067,0.302,0.914,2017-05-11T19:47:36Z
141,2017-02-14,0.07,0.744,193067,0.3,0.912,2017-05-11T19:47:36Z
142,2017-02-15,0.07,0.742,193067,0.3,0.912,2017-05-11T19:47:36Z
143,2017-02-16,0.07,0.742,193067,0.3,0.912,2017-05-11T19:47:36Z
144,2017-02-17,0.07,0.742,193067,0.3,0.912,2017-05-11T19:47:36Z
145,2017-02-20,0.07,0.736,193067,0.298,0.914,2017-05-11T19:47:36Z
146,2017-02-21,0.07,0.736,193067,0.298,0.914,2017-05-11T19:47:36Z
147,2017-02-22,0.07,0.734,193067,0.296,0.918,2017-05-11T19:47:36Z
148,2017-02-23,0.066,0.916,193067,0.354,0.918,2017-05-11T19:47:36Z
149,2017-02-24,0.064,0.914,193067,0.354,0.918,2017-05-11T19:47:36Z
150,2017-02-27,0.066,0.916,193067,0.354,0.918,2017-05-11T19:47:36Z
151,2017-02-28,0.066,0.916,193067,0.354,0.918,2017-05-11T19:47:36Z
152,2017-03-01,0.066,0.914,193067,0.354,0.916,2017-05-11T19:47:36Z
153,2017-03-02,0.068,0.914,193067,0.354,0.918,2017-05-11T19:47:36Z
154,2017-03-03,0.068,0.916,193067,0.354,0.92,2017-05-11T19:47:36Z
155,2017-03-06,0.066,0.916,193067,0.354,0.92,2017-05-11T19:47:36Z
156,2017-03-07,0.068,0.916,193067,0.356,0.918,2017-05-11T19:47:36Z
157,2017-03-08,0.068,0.916,193067,0.354,0.918,2017-05-11T19:47:36Z
158,2017-03-09,0.068,0.916,193067,0.356,0.918,2017-05-11T19:47:36Z
159,2017-03-10,0.068,0.916,193067,0.354,0.918,2017-05-11T19:47:36Z
160,2017-03-13,0.068,0.916,193067,0.356,0.918,2017-05-11T19:47:36Z
161,2017-03-14,0.068,0.916,193067,0.356,0.918,2017-05-11T19:47:36Z
162,2017-03-15,0.068,0.916,193067,0.354,0.92,2017-05-11T19:47:36Z
163,2017-03-16,0.066,0.916,193067,0.354,0.922,2017-05-11T19:47:36Z
164,2017-03-17,0.068,0.916,193067,0.354,0.924,2017-05-11T19:47:36Z
165,2017-03-20,0.068,0.916,193067,0.352,0.924,2017-05-11T19:47:36Z
166,2017-03-21,0.068,0.916,193067,0.352,0.924,2017-05-11T19:47:36Z
167,2017-03-22,0.068,0.916,193067,0.354,0.924,2017-05-11T19:47:36Z
168,2017-03-23,0.068,0.916,193067,0.354,0.924,2017-05-11T19:47:36Z
169,2017-03-24,0.068,0.914,193067,0.352,0.924,2017-05-11T19:47:36Z
170,2017-03-27,0.068,0.914,193067,0.352,0.924,2017-05-11T19:47:36Z
171,2017-03-28,0.068,0.914,193067,0.354,0.924,2017-05-11T19:47:36Z
172,2017-03-29,0.068,0.916,193067,0.354,0.924,2017-05-11T19:47:36Z
173,2017-03-30,0.068,0.916,193067,0.354,0.924,2017-05-11T19:47:36Z
174,2017-03-31,0.068,0.916,193067,0.354,0.922,2017-05-11T19:47:36Z
175,2017-04-03,0.068,0.916,193067,0.354,0.922,2017-05-11T19:47:36Z
176,2017-04-04,0.068,0.916,193067,0.354,0.924,2017-05-11T19:47:36Z
177,2017-04-05,0.068,0.926,193067,0.356,0.926,2017-05-11T19:47:36Z
178,2017-04-06,0.082,0.896,193067,0.348,0.936,2017-05-11T19:47:36Z
179,2017-04-07,0.082,0.894,193067,0.346,0.938,2017-05-11T19:47:36Z
180,2017-04-10,0.076,0.896,193067,0.346,0.936,2017-05-11T19:47:36Z
181,2017-04-11,0.076,0.898,193067,0.346,0.932,2017-05-11T19:47:36Z
182,2017-04-12,0.076,0.896,193067,0.346,0.934,2017-05-11T19:47:36Z
183,2017-04-13,0.074,0.894,193067,0.344,0.934,2017-05-11T19:47:36Z
184,2017-04-14,0.074,0.894,193067,0.346,0.932,2017-05-11T19:47:36Z
185,2017-04-17,0.074,0.896,193067,0.346,0.932,2017-05-11T19:47:36Z
186,2017-04-18,0.074,0.894,193067,0.346,0.932,2017-05-11T19:47:36Z
187,2017-04-19,0.072,0.894,193067,0.344,0.934,2017-05-11T19:47:36Z
188,2017-04-20,0.074,0.894,193067,0.344,0.934,2017-05-11T19:47:36Z
189,2017-04-21,0.074,0.896,193067,0.344,0.934,2017-05-11T19:47:36Z
190,2017-04-24,0.074,0.896,193067,0.344,0.936,2017-05-11T19:47:36Z
191,2017-04-25,0.072,0.896,193067,0.344,0.934,2017-05-11T19:47:36Z
192,2017-04-26,0.072,0.888,193067,0.342,0.934,2017-05-11T19:47:36Z
193,2017-04-27,0.072,0.888,193067,0.342,0.936,2017-05-11T19:47:36Z
194,2017-04-28,0.072,0.886,193067,0.342,0.934,2017-05-11T19:47:36Z
195,2017-05-01,0.074,0.886,193067,0.342,0.934,2017-05-11T19:47:36Z
196,2017-05-02,0.074,0.878,193067,0.338,0.934,2017-05-11T19:47:36Z
197,2017-05-03,0.288,0.868,193067,0.42,0.898,2017-05-11T19:47:36Z
198,2017-05-04,0.292,0.87,193067,0.42,0.9,2017-05-11T19:47:36Z
199,2017-05-05,0.292,0.866,193067,0.42,0.9,2017-05-11T19:47:36Z
200,2017-05-08,0.292,0.868,193067,0.42,0.9,2017-05-11T19:47:36Z
201,2017-05-09,0.296,0.868,193067,0.42,0.902,2017-05-11T19:47:36Z
202,2017-05-10,0.294,0.868,193067,0.42,0.9,2017-05-11T19:47:36Z
203,2017-05-11,0.292,0.868,193067,0.416,0.91,2017-05-11T19:47:36Z
204,2017-05-12,0.316,0.868,193067,0.426,0.906,2017-05-12T10:47:27Z
205,2017-05-15,0.316,0.868,193067,0.426,0.906,2017-05-15T08:06:02Z
206,2017-05-16,0.318,0.868,193067,0.428,0.904,2017-05-16T08:05:09Z
207,2017-05-17,0.314,0.87,193067,0.424,0.912,2017-05-17T08:16:33Z
208,2017-05-18,0.314,0.87,193067,0.426,0.908,2017-05-18T08:08:25Z
209,2017-05-19,0.318,0.872,193067,0.428,0.908,2017-05-19T08:04:44Z
210,2017-05-22,0.318,0.872,193067,0.424,0.916,2017-05-22T08:05:30Z
211,2017-05-23,0.318,0.872,193067,0.426,0.914,2017-05-23T08:11:52Z
212,2017-05-24,0.306,0.868,193067,0.42,0.912,2017-05-24T08:05:16Z
213,2017-05-25,0.304,0.868,193067,0.42,0.912,2017-05-25T08:12:41Z
214,2017-05-26,0.304,0.868,193067,0.42,0.912,2017-05-26T08:06:48Z
215,2017-05-29,0.304,0.868,193067,0.42,0.91,2017-05-29T08:05:08Z
216,2017-05-30,0.304,0.868,193067,0.42,0.91,2017-05-30T08:05:54Z
217,2017-05-31,0.3,0.87,193067,0.42,0.912,2017-06-05T09:38:43Z
218,2017-06-01,0.3,0.87,193067,0.42,0.91,2017-06-01T08:05:25Z
219,2017-06-02,0.292,0.882,193067,0.416,0.924,2017-06-02T08:04:43Z
220,2017-06-05,0.29,0.882,193067,0.418,0.918,2017-06-05T08:04:58Z
221,2017-06-06,0.292,0.882,193067,0.42,0.916,2017-06-06T08:05:52Z
222,2017-06-07,0.292,0.88,193067,0.418,0.916,2017-06-07T08:05:46Z
223,2017-06-08,0.292,0.88,193067,0.42,0.912,2017-06-08T08:33:37Z
224,2017-06-09,0.29,0.88,193067,0.418,0.914,2017-06-09T08:05:43Z
225,2017-06-12,0.29,0.88,193067,0.418,0.914,2017-06-12T08:05:22Z
226,2017-06-13,0.29,0.88,193067,0.418,0.914,2017-06-13T08:05:29Z
227,2017-06-14,0.288,0.882,193067,0.418,0.914,2017-06-14T08:04:49Z
228,2017-06-15,0.29,0.882,193067,0.42,0.912,2017-06-15T08:04:51Z
229,2017-06-16,0.288,0.882,193067,0.42,0.91,2017-06-16T08:05:50Z
230,2017-06-19,0.29,0.88,193067,0.42,0.91,2017-06-19T08:04:45Z
231,2017-06-20,0.292,0.876,193067,0.42,0.912,2017-06-20T08:08:35Z
232,2017-06-21,0.29,0.874,193067,0.418,0.91,2017-06-21T08:07:14Z
233,2017-06-22,0.29,0.874,193067,0.418,0.91,2017-06-22T08:05:56Z
234,2017-06-23,0.294,0.876,193067,0.42,0.91,2017-06-23T08:25:02Z
235,2017-06-26,0.294,0.876,193067,0.42,0.91,2017-06-26T08:05:04Z
236,2017-06-27,0.294,0.876,193067,0.42,0.91,2017-06-27T08:06:17Z
237,2017-06-28,0.294,0.876,193067,0.42,0.912,2017-06-28T08:04:52Z
238,2017-06-29,0.294,0.876,193067,0.42,0.912,2017-06-29T08:05:26Z
239,2017-06-30,0.294,0.876,193067,0.42,0.91,2017-06-30T08:05:02Z
240,2017-01-16,0.904,0.772,194688,0.594,0.894,2017-05-11T19:47:36Z
241,2017-01-17,0.904,0.774,194688,0.594,0.894,2017-05-11T19:47:36Z
242,2017-01-18,0.904,0.772,194688,0.594,0.896,2017-05-11T19:47:36Z
243,2017-01-19,0.904,0.772,194688,0.594,0.896,2017-05-11T19:47:36Z
244,2017-01-20,0.904,0.772,194688,0.594,0.894,2017-05-11T19:47:36Z
245,2017-01-23,0.904,0.768,194688,0.592,0.894,2017-05-11T19:47:36Z
246,2017-01-24,0.904,0.77,194688,0.594,0.892,2017-05-11T19:47:36Z
247,2017-01-25,0.904,0.77,194688,0.594,0.892,2017-05-11T19:47:36Z
248,2017-01-26,0.902,0.776,194688,0.594,0.894,2017-05-11T19:47:36Z
249,2017-01-27,0.904,0.774,194688,0.594,0.894,2017-05-11T19:47:36Z
250,2017-01-30,0.902,0.778,194688,0.594,0.894,2017-05-11T19:47:36Z
251,2017-01-31,0.9,0.778,194688,0.594,0.896,2017-05-11T19:47:36Z
252,2017-02-01,0.9,0.778,194688,0.594,0.896,2017-05-11T19:47:36Z
253,2017-02-02,0.902,0.778,194688,0.594,0.896,2017-05-11T19:47:36Z
254,2017-02-03,0.902,0.774,194688,0.594,0.894,2017-05-11T19:47:36Z
255,2017-02-06,0.902,0.778,194688,0.594,0.898,2017-05-11T19:47:36Z
256,2017-02-07,0.9,0.778,194688,0.594,0.898,2017-05-11T19:47:36Z
257,2017-02-08,0.9,0.78,194688,0.594,0.896,2017-05-11T19:47:36Z
258,2017-02-09,0.9,0.78,194688,0.594,0.898,2017-05-11T19:47:36Z
259,2017-02-10,0.9,0.778,194688,0.594,0.896,2017-05-11T19:47:36Z
260,2017-02-13,0.902,0.774,194688,0.594,0.894,2017-05-11T19:47:36Z
261,2017-02-14,0.902,0.774,194688,0.594,0.896,2017-05-11T19:47:36Z
262,2017-02-15,0.904,0.772,194688,0.594,0.896,2017-05-11T19:47:36Z
263,2017-02-16,0.904,0.772,194688,0.592,0.896,2017-05-11T19:47:36Z
264,2017-02-17,0.902,0.768,194688,0.592,0.896,2017-05-11T19:47:36Z
265,2017-02-20,0.9,0.772,194688,0.592,0.896,2017-05-11T19:47:36Z
266,2017-02-21,0.9,0.772,194688,0.592,0.896,2017-05-11T19:47:36Z
267,2017-02-22,0.9,0.77,194688,0.592,0.896,2017-05-11T19:47:36Z
268,2017-02-23,0.9,0.766,194688,0.59,0.896,2017-05-11T19:47:36Z
269,2017-02-24,0.902,0.768,194688,0.59,0.896,2017-05-11T19:47:36Z
270,2017-02-27,0.9,0.77,194688,0.592,0.896,2017-05-11T19:47:36Z
271,2017-02-28,0.9,0.77,194688,0.592,0.896,2017-05-11T19:47:36Z
272,2017-03-01,0.9,0.766,194688,0.59,0.896,2017-05-11T19:47:36Z
273,2017-03-02,0.904,0.768,194688,0.592,0.896,2017-05-11T19:47:36Z
274,2017-03-03,0.902,0.766,194688,0.59,0.898,2017-05-11T19:47:36Z
275,2017-03-06,0.902,0.766,194688,0.59,0.896,2017-05-11T19:47:36Z
276,2017-03-07,0.902,0.764,194688,0.59,0.898,2017-05-11T19:47:36Z
277,2017-03-08,0.9,0.766,194688,0.59,0.898,2017-05-11T19:47:36Z
278,2017-03-09,0.902,0.768,194688,0.59,0.9,2017-05-11T19:47:36Z
279,2017-03-10,0.9,0.766,194688,0.59,0.9,2017-05-11T19:47:36Z
280,2017-03-13,0.896,0.778,194688,0.59,0.902,2017-05-11T19:47:36Z
281,2017-03-14,0.896,0.778,194688,0.59,0.902,2017-05-11T19:47:36Z
282,2017-03-15,0.898,0.776,194688,0.592,0.902,2017-05-11T19:47:36Z
283,2017-03-16,0.898,0.776,194688,0.592,0.9,2017-05-11T19:47:36Z
284,2017-03-17,0.898,0.776,194688,0.592,0.9,2017-05-11T19:47:36Z
285,2017-03-20,0.898,0.774,194688,0.59,0.904,2017-05-11T19:47:36Z
286,2017-03-21,0.9,0.772,194688,0.59,0.9,2017-05-11T19:47:36Z
287,2017-03-22,0.9,0.772,194688,0.59,0.902,2017-05-11T19:47:36Z
288,2017-03-23,0.898,0.772,194688,0.59,0.902,2017-05-11T19:47:36Z
289,2017-03-24,0.898,0.768,194688,0.588,0.902,2017-05-11T19:47:36Z
290,2017-03-27,0.898,0.768,194688,0.588,0.9,2017-05-11T19:47:36Z
291,2017-03-28,0.898,0.766,194688,0.588,0.9,2017-05-11T19:47:36Z
292,2017-03-29,0.898,0.766,194688,0.588,0.9,2017-05-11T19:47:36Z
293,2017-03-30,0.896,0.768,194688,0.588,0.9,2017-05-11T19:47:36Z
294,2017-03-31,0.896,0.768,194688,0.588,0.9,2017-05-11T19:47:36Z
295,2017-04-03,0.896,0.766,194688,0.588,0.898,2017-05-11T19:47:36Z
296,2017-04-04,0.894,0.766,194688,0.588,0.898,2017-05-11T19:47:36Z
297,2017-04-05,0.896,0.76,194688,0.586,0.9,2017-05-11T19:47:36Z
298,2017-04-06,0.886,0.826,194688,0.598,0.92,2017-05-11T19:47:36Z
299,2017-04-07,0.886,0.826,194688,0.598,0.92,2017-05-11T19:47:36Z
300,2017-04-10,0.888,0.828,194688,0.598,0.92,2017-05-11T19:47:36Z
301,2017-04-11,0.888,0.824,194688,0.598,0.918,2017-05-11T19:47:36Z
302,2017-04-12,0.888,0.822,194688,0.596,0.92,2017-05-11T19:47:36Z
303,2017-04-13,0.884,0.82,194688,0.594,0.92,2017-05-11T19:47:36Z
304,2017-04-14,0.884,0.818,194688,0.594,0.922,2017-05-11T19:47:36Z
305,2017-04-17,0.884,0.818,194688,0.594,0.922,2017-05-11T19:47:36Z
306,2017-04-18,0.886,0.82,194688,0.596,0.92,2017-05-11T19:47:36Z
307,2017-04-19,0.888,0.822,194688,0.596,0.922,2017-05-11T19:47:36Z
308,2017-04-20,0.888,0.822,194688,0.596,0.92,2017-05-11T19:47:36Z
309,2017-04-21,0.888,0.822,194688,0.598,0.918,2017-05-11T19:47:36Z
310,2017-04-24,0.886,0.828,194688,0.598,0.918,2017-05-11T19:47:36Z
311,2017-04-25,0.886,0.828,194688,0.598,0.918,2017-05-11T19:47:36Z
312,2017-04-26,0.886,0.824,194688,0.598,0.916,2017-05-11T19:47:36Z
313,2017-04-27,0.886,0.824,194688,0.596,0.92,2017-05-11T19:47:36Z
314,2017-04-28,0.888,0.822,194688,0.598,0.916,2017-05-11T19:47:36Z
315,2017-05-01,0.888,0.824,194688,0.598,0.918,2017-05-11T19:47:36Z
316,2017-05-02,0.888,0.82,194688,0.596,0.916,2017-05-11T19:47:36Z
317,2017-05-03,0.886,0.818,194688,0.596,0.918,2017-05-11T19:47:36Z
318,2017-05-04,0.886,0.816,194688,0.594,0.922,2017-05-11T19:47:36Z
319,2017-05-05,0.886,0.814,194688,0.594,0.92,2017-05-11T19:47:36Z
320,2017-05-08,0.882,0.786,194688,0.588,0.906,2017-05-11T19:47:36Z
321,2017-05-09,0.886,0.786,194688,0.588,0.904,2017-05-11T19:47:36Z
322,2017-05-10,0.886,0.784,194688,0.588,0.908,2017-05-11T19:47:36Z
323,2017-05-11,0.884,0.784,194688,0.588,0.902,2017-05-11T19:47:36Z
